ScientificName
Symphyotrichum novae-angliae
Symphyotrichum oblongifolium
Symphyotrichum ontarionis
Symphyotrichum oolentangiense
Symphyotrichum patens
Symphyotrichum phlogifolium
Symphyotrichum pilosum
Symphyotrichum praealtum
Symphyotrichum prenanthoides
Symphyotrichum puniceum
Symphyotrichum racemosum
Symphyotrichum sericeum
Symphyotrichum shortii
Symphyotrichum subulatum
Symphyotrichum undulatum
Symphyotrichum urophyllum
Tanacetum balsamita
Tanacetum parthenium
Tanacetum vulgare
Taraxacum erythrospermum
Taraxacum officinale
Tragopogon dubius
Tragopogon porrifolius
Tragopogon pratensis
Tussilago farfara
Verbesina alternifolia
Verbesina helianthoides
Verbesina virginica
Vernonia fasciculata
Vernonia gigantea
Vernonia missurica
Xanthium spinosum
Xanthium strumarium
Athyrium filix-femina
Deparia acrostichoides
Homalosorus pycnocarpos
Impatiens capensis
Impatiens glandulifera
Impatiens pallida
Berberis aquifolium
Berberis canadensis
Berberis thunbergii
Berberis vulgaris
Caulophyllum giganteum
Caulophyllum thalictroides
Jeffersonia diphylla
Podophyllum peltatum
Alnus glutinosa
Alnus incana
Alnus serrulata
Betula alleghaniensis
Betula nigra
Betula papyrifera
Betula pendula
Betula populifolia
Betula pumila
Carpinus caroliniana
Corylus americana
Ostrya virginiana
Bignonia capreolata
Campsis radicans
Catalpa bignonioides
Catalpa speciosa
Woodwardia areolata
Woodwardia virginica
Buglossoides arvensis
Cynoglossum officinale
Cynoglossum virginianum
Echium vulgare
Ellisia nyctelea
Hackelia virginiana
Heliotropium indicum
Heliotropium tenellum
Hydrophyllum appendiculatum
Hydrophyllum canadense
Hydrophyllum macrophyllum
Hydrophyllum virginianum
Lappula squarrosa
Lithospermum canescens
Lithospermum caroliniense
Lithospermum incisum
Lithospermum latifolium
Lithospermum parviflorum
Mertensia virginica
Myosotis arvensis
Myosotis laxa
Myosotis macrosperma
Myosotis scorpioides
Myosotis stricta
Myosotis verna
Phacelia bipinnatifida
Phacelia covillei
Phacelia purshii
Phacelia ranunculacea
Symphytum officinale
Alliaria petiolata
Alyssum alyssoides
Arabidopsis lyrata
Arabidopsis thaliana
Arabis patens
Arabis pycnocarpa
Armoracia rusticana
Barbarea verna
Barbarea vulgaris
Berteroa incana
Boechera stricta
Borodinia canadensis
Borodinia dentata
Borodinia laevigata
Borodinia missouriensis
Brassica juncea
Brassica napus
Brassica nigra
Brassica rapa
Cakile edentula
Camelina microcarpa
Capsella bursa-pastoris
Cardamine angustata
Cardamine bulbosa
Cardamine concatenata
Cardamine diphylla
Cardamine dissecta
Cardamine douglassii
Cardamine flexuosa
Cardamine hirsuta
Cardamine impatiens
Cardamine parviflora
Cardamine pensylvanica
Cardamine pratensis
Chorispora tenella
Conringia orientalis
Descurainia pinnata
Descurainia sophia
Diplotaxis muralis
Diplotaxis tenuifolia
Draba brachycarpa
Draba reptans
Draba verna
Erucastrum gallicum
Erysimum capitatum
Erysimum cheiranthoides
Erysimum hieraciifolium
Erysimum inconspicuum
Erysimum repandum
Hesperis matronalis
Iodanthus pinnatifidus
Leavenworthia uniflora
Lepidium campestre
Lepidium densiflorum
Lepidium didymum
Lepidium draba
Lepidium latifolium
Lepidium perfoliatum
Lepidium ruderale
Lepidium virginicum
Lobularia maritima
Lunaria annua
Microthlaspi perfoliatum
Nasturtium microphyllum
Nasturtium officinale
Neslia paniculata
Physaria globosa
Planodes virginicum
Raphanus raphanistrum
Raphanus sativus
Rapistrum rugosum
Rorippa aquatica
Rorippa palustris
Rorippa sessiliflora
Rorippa sylvestris
Sinapis alba
Sinapis arvensis
Sisymbrium altissimum
Sisymbrium loeselii
Sisymbrium officinale
Teesdalia nudicaulis
Thlaspi alliaceum
Thlaspi arvense
Turritis glabra
Butomus umbellatus
Pachysandra procumbens
Pachysandra terminalis
Brasenia schreberi
Cabomba caroliniana
Opuntia humifusa
Campanula aparinoides
Campanula rapunculoides
Campanula rotundifolia
Campanula trachelium
Campanulastrum americanum
Triodanis leptocarpa
Triodanis perfoliata
Cannabis sativa
Celtis laevigata
Celtis occidentalis
Celtis tenuifolia
Humulus japonicus
Humulus lupulus
Diervilla lonicera
Dipsacus fullonum
Dipsacus laciniatus
Linnaea borealis
Lonicera canadensis
Lonicera dioica
Lonicera japonica
Lonicera maackii
Lonicera morrowii
Lonicera reticulata
Lonicera ruprechtiana
Lonicera sempervirens
Lonicera tatarica
Lonicera xylosteum
Symphoricarpos albus
Symphoricarpos occidentalis
Symphoricarpos orbiculatus
Triosteum angustifolium
Triosteum aurantiacum
