Scientific.Name,native
Sonchus arvensis (including 1 subspecies),non-native
Sonchus asper,non-native
Sonchus oleraceus,non-native
Sorbaria sorbifolia,non-native
Sorbus aucuparia,non-native
Sorghum bicolor (including 1 subspecies),non-native
Sorghum halepense,non-native
Spergula arvensis,non-native
Spergularia marina,non-native
Spergularia media var. media,non-native
Spergularia rubra,non-native
Spermolepis inermis,non-native
Spiraea japonica,non-native
Spiraea prunifolia,non-native
Spiraea vanhouttei,non-native
Stachys byzantina,non-native
Stellaria graminea,non-native
Stellaria media,non-native
Stellaria pallida,non-native
Suaeda calceoliformis,non-native
Symphoricarpos albus var. laevigatus,non-native
Symphoricarpos occidentalis,non-native
Symphyotrichum ciliatum (=aster brachyactis),non-native
Symphyotrichum subulatum var. subulatum,non-native
Symphytum officinale,non-native
Syringa vulgaris,non-native
Tanacetum balsamita,non-native
Tanacetum parthenium,non-native
Tanacetum vulgare,non-native
Taraxacum erythrospermum,non-native
Taraxacum officinale,non-native
Tarenaya hassleriana,non-native
Teesdalia nudicaulis,non-native
Thelesperma megapotamicum,non-native
Thlaspi alliaceum,non-native
Thlaspi arvense,non-native
Thymus praecox,non-native
Tilia x europaea,non-native
Torilis arvensis,non-native
Torilis japonica,non-native
Tragopogon dubius,non-native
Tragopogon porrifolius,non-native
Tragopogon pratensis,non-native
Tribulus terrestris,non-native
Tridens strictus,non-native
Trifolium arvense,non-native
Trifolium aureum,non-native
Trifolium campestre,non-native
Trifolium dubium,non-native
Trifolium hybridum,non-native
Trifolium incarnatum,non-native
Trifolium pratense,non-native
Trifolium repens,non-native
Trifolium resupinatum,non-native
Trillium erectum,non-native
Triodanis leptocarpa,non-native
Tripleurospermum inodorum,non-native
Triticum aestivum,non-native
Tussilago farfara,non-native
Typha angustifolia,non-native
Typha x glauca,non-native
Ulmus pumila,non-native
Urtica dioica subsp. dioica,non-native
Vaccaria hispanica,non-native
Valeriana officinalis,non-native
Valerianella locusta,non-native
Verbascum blattaria,non-native
Verbascum phlomoides,non-native
Verbascum thapsus,non-native
Verbascum virgatum,non-native
Verbena officinalis,non-native
Vernonia arkansana,non-native
Vernonia baldwinii,non-native
Veronica agrestis,non-native
Veronica arvensis,non-native
Veronica chamaedrys,non-native
Veronica hederifolia,non-native
Veronica longifolia,non-native
Veronica officinalis,non-native
Veronica persica,non-native
Veronica polita,non-native
Veronica serpyllifolia subsp. serpyllifolia,non-native
Veronica teucrium,non-native
Veronica verna,non-native
Viburnum lantana,non-native
Viburnum opulus,non-native
Viburnum plicatum,non-native
Viburnum recognitum,non-native
Vicia cracca subsp. cracca,non-native
Vicia sativa subsp. nigra,non-native
Vicia tetrasperma,non-native
Vicia villosa (including 1 subspecies),non-native
Vigna unguiculata,non-native
Vinca major,non-native
Vinca minor,non-native
Viola arvensis,non-native
Viola bicolor,non-native
Viola odorata,non-native
Viola tricolor,non-native
Vitex agnus-castus,non-native
Vulpia bromoides,non-native
Vulpia myuros,non-native
Weigela florida,non-native
Wisteria sinensis,non-native
Xanthium spinosum,non-native
Yucca filamentosa,non-native
Yucca flaccida,non-native
Zea mays,non-native
Zoysia japonica,non-native
